 warn --- config file  - /var/lib/jenkins/workspace/generic-build-product/sources/modules/npm-ancillary-module/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@microsoft%2frush', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-extra', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /import-lazy', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jju', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /z-schema', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lru-cache', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /encoding', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2ferror', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fpackage-bins', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fread-modules-dir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fread-package-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fread-project-manifest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2ftypes', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@zkochan%2fcmd-shim', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-subdir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-windows', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /normalize-path', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-settle', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ramda', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jsonpath-plus', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-json-comments', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2frush-sdk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fidentity', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fstorage-blob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /wordwrap', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fargparse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /argparse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /string-argv', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /form-data', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fcrypto.base32-hash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2ftypes', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /encode-registry', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /escape-string-regexp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs.realpath', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /inflight', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /inherits', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minimatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /once', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /path-is-absolute', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /agent-base', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /debug', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-escapes', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chalk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cli-cursor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cli-width', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /external-editor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mute-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /run-async', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /string-width', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-ansi', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /through', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /argparse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /esprima', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lie', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pako', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /readable-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /set-immediate-shim', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /whatwg-url', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /callsite-record', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /co', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /depcheck', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /execa', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /giturl', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /global-modules', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /globby', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-ci', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /meow', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /node-emoji', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ora', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /package-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /path-exists', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pkg-dir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /preferred-pm', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /rc-config-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /semver-diff', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /text-table', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /throat', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /update-notifier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xtend', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /hosted-git-info', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /osenv', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validate-npm-package-name', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ignore-walk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /npm-bundled', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /npm-normalize-package-bin', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /debuglog', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /dezalgo', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /read-package-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /readdir-scoped-modules', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-core-module', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /path-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /supports-preserve-symlinks-flag', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tslib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chownr', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minizlib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mkdirp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /yallist', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /load-json-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /normalize-package-data', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fwrite-project-manifest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /detect-indent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-deep-equal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /graceful-fs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /json5', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /parse-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /read-yaml-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sort-keys', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-bom', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cmd-extension', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /graceful-fs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /better-path-resolve', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /any-promise', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /object-assign', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /thenify-all', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-limit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-reflect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.stat', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.walk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob-parent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /merge2', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /micromatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /type-fest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validate-npm-package-license', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /write-file-atomic', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /write-yaml-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2fcode-frame', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /error-ex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /json-parse-even-better-errors', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lines-and-columns', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-plain-obj', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /imurmurhash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-typedarray', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /signal-exit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /typedarray-to-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jsonfile', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /universalify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.get', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.isequal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validator', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /commander', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fabort-controller', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-auth', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-client', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-rest-pipeline', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-tracing', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-util', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2flogger', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fmsal-browser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fmsal-common', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fmsal-node', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /events', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jws', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /open', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /stoppable', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /uuid', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-http', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-lro', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-paging', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-tracing', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /http-proxy-agent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jsonwebtoken', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jwa', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /safe-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /define-lazy-prop', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-docker', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-wsl', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /asynckit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /combined-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mime-types', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@tootallnate%2fonce', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ms', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2ftunnel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /process', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tough-cookie', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tunnel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xml2js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@opentelemetry%2fapi', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /psl', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /punycode', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /url-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sax', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xmlbuilder', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sprintf-js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /rfc4648', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mem', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /map-age-cleaner', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mimic-fn', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.scandir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fastq', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /braces', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /picomatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /run-parallel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /reusify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /queue-microtask', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /delayed-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mime-db', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /wrappy', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /brace-expansion', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-extglob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-styles', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /supports-color', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /restore-cursor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chardet', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /iconv-lite', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tmp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /emoji-regex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-fullwidth-code-point', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-regex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /color-convert', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has-flag', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /color-name', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /onetime', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /safer-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /os-tmpdir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /immediate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /core-util-is', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /isarray', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /process-nextick-args', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /string_decoder', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /util-deprecate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /buffer-equal-constant-time', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ecdsa-sig-formatter', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-defer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fill-range', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /to-regex-range', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-number', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /balanced-match', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /concat-map', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /thenify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tr46', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /webidl-conversions', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-correct', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /spdx-expression-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /function-bind', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@devexpress%2ferror-stack-parser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2flodash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /callsite', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /highlight-es', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pinkie-promise', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2fparser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2ftraverse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@vue%2fcompiler-sfc', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /camelcase', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cosmiconfig', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /deps-regex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /multimatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /please-upgrade-node', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /query-ast', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /readdirp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /require-package-name', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /scss-parser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /yargs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cross-spawn', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /get-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /human-signals', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /merge-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /npm-run-path', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-final-newline', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /global-prefix', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /array-union', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /dir-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /slash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ci-info', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fminimist', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /camelcase-keys', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /decamelize', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /decamelize-keys', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /hard-rejection', bytes: 0/0
